location,country_id,city,state
305,4,Blackburn North,VIC
306,4,Albury,NSW
307,4,Frankston,VIC
308,4,Henderson,WA
309,4,Parkville,VIC
310,4,Moree,NSW
311,4,Alice Springs,NT
312,4,Darling Downs,QLD
313,4,Mornington Peninsula,VIC
314,4,Rosebery,NSW
315,4,Christmas Creek,QLD
316,4,Warabrook,NSW
317,4,Homebush,NSW
318,4,Inner West,NSW
319,4,Old Guildford,NSW
320,4,Edinburgh,SA
321,4,Port Macquarie,NSW
322,4,Perth Central Business District,WA
323,4,Ravensthorpe,WA
324,4,Katoomba,NSW
325,4,Barton,ACT
326,4,Williams Landing,VIC
327,4,Maitland,NSW
328,4,Milton,QLD
329,4,East Perth,WA
330,4,Streaky Bay,SA
331,4,Mandurah,WA
332,4,Melbourne South Eastern Suburbs,VIC
333,4,Beaconsfield,TAS
334,4,Hopetoun,WA
335,4,Chichester,NSW
336,4,Deakin,VIC
337,4,Dee Why,NSW
338,4,Osterley,TAS
339,4,Northam,WA
340,4,Tullamarine,VIC
341,4,Artarmon,NSW
342,4,Goldfields,WA
343,4,Hilton,SA
344,4,Strathpine,QLD
345,4,Dampier,WA
346,4,Portland,VIC
347,4,North Melbourne,VIC
348,4,Success,WA
349,4,Lane Cove West,NSW
350,4,Orchard Hills,NSW
351,4,Bunbury,WA
352,4,Waurn Ponds,VIC
353,4,Broadway,NSW
354,4,Macquarie University,NSW
355,4,Sunshine Coast,QLD
356,4,South Perth,WA
357,4,Fullarton,SA
358,4,Port Melbourne,VIC
359,4,Northgate,QLD
360,4,Burleigh Heads,QLD
361,4,Horsham,VIC
362,4,Coburg,VIC
363,4,Westmead,NSW
364,4,Chatswood,NSW
365,3,Akron,OH
366,3,Hill AFB,UT
367,3,San Francisco,CA
368,3,Bloomington,IL
370,3,Atlanta,GA
371,3,Texas City,TX
372,3,Fremont,CA
373,3,Weston,FL
374,3,Boulder,CO
375,3,Brandon,FL
376,3,Boston,MA
377,3,Waltham,MA
378,3,Alexandria,VA
379,3,Southington,CT
380,3,Seattle,WA
382,3,Irving,TX
383,3,Carlsbad,CA
384,3,Pleasant Prairie,WI
385,3,Greenville,TX
386,3,McAlester,OK
387,3,Sanford,FL
388,3,Washington,DC
389,3,Marlborough,MA
390,3,Bloomfield,NJ
391,3,New York,NY
393,3,Santa Monica,CA
394,3,Palo Alto,CA
395,3,Beeville,TX
396,3,North East,MD
397,3,Falls Church,VA
398,3,Santa Clara,CA
399,3,Post Falls,ID
400,3,New Brunswick,NJ
401,3,Fletcher,NC
402,3,Los Angeles,CA
403,3,Redmond,WA
404,3,Delaware,OH
405,3,Draper,UT
406,3,Chapel Hill,NC
407,3,York,PA
408,3,Palm Beach,FL
409,3,Evanston,IL
410,3,Morrisville,NC
411,3,Overland Park,KS
412,3,Cambridge,MA
413,3,Charlestown,MA
414,3,Mountain View,CA
415,3,Chicago,IL
416,3,San Diego,CA
417,3,Tallahassee,FL
418,3,Sunrise,FL
419,3,Jefferson City,MO
420,3,Bloomington,MN
421,3,Chestertown,MD
422,3,Hollywood,CA
423,3,New Orleans,LA
425,3,Manassas,VA
426,3,Portsmouth,NH
427,3,Raymond,OH
428,3,Shelton,CT
429,3,Roseville,MN
430,3,Sunnyvale,CA
431,3,Franklin,TN
432,3,Chippewa Falls,WI
433,3,Dorado,PR
434,3,Cincinnati,OH
435,3,Orlando,FL
436,3,Mansfield,PA
437,3,Orem,UT
438,3,Bellevue,WA
439,3,San Jose,CA
440,3,Stafford,TX
441,3,Richmond,VA
442,3,De Pere,WI
443,3,Redwood City,CA
444,3,West Columbia,SC
445,3,New Albany,OH
446,3,Baltimore,MD
447,3,Philadelphia,PA
448,3,Fort Washington,PA
449,3,Oak Brook,IL
450,3,Portland,OR
451,3,Fort Lauderdale,FL
452,3,Stanford,CA
453,3,Pompano Beach,FL
454,3,Sacramento,CA
455,3,Southfield,MI
456,3,Boca Raton,FL
457,3,Floresville,TX
458,3,Milwaukee,WI
459,3,Queens,NY
460,3,Mason,OH
461,3,Fairfax,VA
462,3,Salt Lake City,UT
463,3,St. Louis,MO
464,3,Tampa,FL
465,3,Rockville,MD
466,3,Indianapolis,IN
467,3,Junior,WV
468,3,Austin,TX
469,3,Arlington,VA
470,3,Red Bank,NJ
471,3,Irvine,CA
472,3,Battle Creek,MI
473,3,Harrisburg,PA
474,3,Malvern,AR
475,3,Columbus,OH
476,3,Petaluma,CA
477,3,Georgetown,TX
478,3,Oshkosh,WI
479,3,Chandler,AZ
480,3,Detroit,MI
481,3,Wilmington,DE
482,3,Rockland,MA
483,3,Dallas,TX
484,3,Shalimar,FL
485,3,Lewiston,ME
486,3,Charleston,SC
487,3,Burbank,CA
488,3,Columbia,MO
489,3,Ontario,CA
490,3,Miami,FL
491,3,Miramar,FL
492,3,Denver,CO
493,3,Aberdeen Proving Ground,MD
494,3,Wilson,NC
495,3,Santa Fe,NM
496,3,Madison,WI
497,3,Rochester,MI
498,3,Plano,TX
499,3,Clearlake,CA
500,3,Mayport,FL
501,3,Burlington,VT
502,3,Wayne,NJ
503,3,Buffalo,NY
504,3,Raleigh,NC
505,3,Armonk,NY
506,3,Concord,NC
507,3,North Kansas City,MO
508,3,Toledo,OH
509,3,Durham,NC
510,3,Mayfield Village,OH
511,3,Johnston,IA
512,3,Webster,NY
513,3,Houston,TX
514,3,Hoboken,NJ
515,3,Newark,NJ
516,3,Newark,CA
517,3,Warren,MI
518,3,Little Rock,AR
519,3,Sandy,UT
520,3,Norwell,MA
522,3,Williston,VT
523,3,Phoenix,AZ
524,3,Spartanburg,SC
525,3,Pensacola,FL
526,3,Lakeland,FL
527,3,Santa Barbara,CA
528,3,Oxford,OH
529,3,Minneapolis,MN
530,3,Greensboro,NC
531,3,Andover,MA
532,3,Saint Albans,WV
533,3,Bethesda,MD
534,3,Richland,WA
535,3,East Providence,RI
536,3,Champaign,IL
537,3,Plantation,FL
538,3,Fort Worth,TX
539,3,Dublin,OH
540,3,Yardley,PA
541,3,Paoli,PA
542,3,Breckenridge,CO
543,3,Tinton Falls,NJ
544,3,Rensselaer,NY
546,3,Asheville,NC
547,3,Fayetteville,AR
548,3,Duluth,GA
549,3,King of Prussia,PA
550,3,Costa Mesa,CA
551,3,North Quincy,MA
552,3,Rochester,NY
553,3,Escondido,CA
554,3,Newark,DE
555,3,Flint,MI
556,3,West Chester,PA
557,3,Euclid,OH
558,3,Oahu Island,HI
559,3,Enid,OK
560,3,Walnut Creek,CA
561,3,Lansing,MI
562,3,Pleasanton,CA
563,3,Rosslyn,VA
564,3,Mayfield,OH
565,3,Albuquerque,NM
566,3,Nashua,NH
567,3,Arlington County,VA
568,3,Horsham,PA
569,3,Fort Walton Beach,FL
570,3,Brookfield,CT
571,3,Ithaca,NY
572,3,West Chester,OH
573,3,Santa Clarita,CA
574,3,Anchorage,AK
575,3,Venice,CA
576,3,Lynchburg,VA
577,3,Deerfield,IL
578,3,Nashville,TN
579,3,Charlotte,NC
580,3,Newport Beach,CA
581,3,Manhattan,NY
582,3,West Palm Beach,FL
583,3,Des Moines,IA
584,3,Gainesville,FL
585,3,San Juan,PR
586,3,Henrico,VA
587,3,Hanover,NH
588,3,Johnston,RI
589,3,Ferdinand,IN
590,3,Research Triangle Park,NC
591,3,Maitland,FL
592,3,Colorado Springs,CO
593,3,Mount Pleasant,SC
594,3,Herndon,VA
595,3,South Jordan,UT
596,3,Memphis,TN
597,3,Mesa,AZ
598,3,Reston,VA
599,3,Princeton,NJ
600,3,Austell,GA
601,3,San Antonio,TX
603,3,Ronkonkoma,NY
604,3,Westlake,TX
605,3,Birmingham,AL
606,3,Eden Prairie,MN
607,3,Lake Mary,FL
608,3,Woonsocket,RI
609,3,Shrewsbury,MA
610,3,Stamford,CT
611,3,Clearwater,FL
612,3,Anaheim,CA
613,3,Woodlawn,MD
614,3,Henderson,NV
615,3,West Barnstable,MA
616,3,San Mateo,CA
617,3,McLean,VA
619,3,Edison,NJ
620,3,Mount Pleasant,WI
621,3,Las Vegas,NV
622,3,Alpharetta,GA
623,3,Knoxville,TN
624,3,Provo,UT
625,3,Monroe,WI
626,3,Camden County,NJ
627,3,Camp Smith,HI
628,3,Westborough,MA
629,3,Oakbrook Terrace,IL
630,3,Albany,NY
631,3,Williamsville,NY
632,3,Dearborn,MI
633,3,Daytona Beach,FL
634,3,Portland,ME
635,3,Victor,NY
636,3,Melbourne,FL
637,3,Ann Arbor,MI
639,3,Cranbury,NJ
640,3,Chico,CA
641,3,South San Francisco,CA
642,3,Hartford,CT
643,3,Quincy,MA
644,3,Cleveland,OH
645,3,North Wales,PA
646,3,Erie,PA
647,3,Linthicum Heights,MD
648,3,Oakland,CA
649,3,Oroville,CA
650,3,Libby,MT
651,3,Italy,TX
652,3,Lehi,UT
653,3,Sterling,VA
654,3,Duluth,MN
655,3,Diamondhead,MS
657,3,Salem,OR
658,3,Tempe,AZ
659,3,Kingsport,TN
660,3,Ada,MI
661,3,Lakewood,CO
662,3,Jacksonville,FL
663,3,Charlottesville,VA
664,3,Morgan Hill,CA
665,3,Thorndale,PA
666,3,Waterford,MI
667,3,Orange,CA
668,3,Montgomery,AL
669,3,Jersey City,NJ
671,3,Jackson,WY
672,3,Chantilly,VA
673,3,West Sacramento,CA
674,3,Brentwood,TN
675,3,Louisville,KY
676,3,Highland,CA
677,3,Prairie du Sac,WI
678,3,Waipahu,HI
679,3,Commerce,GA
680,3,Westerville,OH
681,3,Columbia,MD
682,3,Fort Sam Houston,TX
683,3,Orangeburg,SC
684,3,Hershey,PA
686,3,California City,CA
687,3,Hicksville,NY
688,3,Blacksburg,VA
689,3,Lewisville,TX
690,3,Holyoke,MA
691,3,Fresno,CA
692,3,Caledonia,MI
693,3,Springfield,MO
694,3,Rome,GA
695,3,Yuma,AZ
696,3,Cary,NC
697,3,Bowie,MD
698,3,Ocala,FL
699,3,Kansas City,MO
700,3,Livermore,CA
701,3,Aurora,OH
702,3,Novi,MI
703,3,Windsor,CT
704,3,Berlin,MD
705,3,New Bremen,OH
706,3,Bondurant,IA
707,3,Doral,FL
708,3,Lake Mills,WI
709,3,Naperville,IL
710,3,La Vergne,TN
711,3,Monsey,NY
712,3,Palm Coast,FL
713,3,La Mesa,NM
714,3,Sparks,NV
715,3,Dallas,OR
716,3,Corona,CA
717,3,Irwindale,CA
718,3,Quincy,IL
719,3,Chino Hills,CA
720,3,Lowell,MI
721,3,Chatsworth,CA
722,3,Pembroke Pines,FL
723,3,Coral Springs,FL
724,3,Meridian,ID
725,3,Englewood,CO
726,3,Saint Paul,MN
727,3,Melville,NY
728,3,Bakersfield,CA
729,3,Morgantown,WV
730,3,San Francisco Bay Area,CA
731,3,Miami Lakes,FL
732,3,Long Island City,NY
733,3,Trenton,NJ
734,3,Bedford Heights,OH
735,3,Camarillo,CA
736,3,Manchester,NH
737,3,Paramus,NJ
738,3,Fairfield,OH
739,3,Foster City,CA
740,3,Missouri City,MO
741,3,Norfolk,VA
742,3,Livonia,MI
743,3,Montgomery County,MD
744,3,Opportunity,WA
745,3,Bentonville,AR
746,3,Creve Coeur,MO
747,3,Menlo Park,CA
