location_id,country_id,city,state,lat,lng
1088,4,St Leonards,NSW,-33.8225666,151.1923402
972,4,Clayton,VIC,-37.9173212,145.1304242
1108,4,West Melbourne,VIC,-37.8106885,144.920404
1099,4,Tasmania,Tasmania,-42.1422055,146.6723518
1115,4,Wynyard,TAS,-40.9875424,145.7282223
1014,4,Keysborough,VIC,-38.0053607,145.1674069
991,4,Fairfield,VIC,-37.7791933,145.017005
961,4,Burwood,VIC,-37.85566,145.0984412
1083,4,South Melbourne,VIC,-37.8334603,144.9570188
1097,4,Sydney Inner Suburbs,NSW,-32.939481,151.6600028
938,4,Alexandria,NSW,-33.9091568,151.1921281
1081,4,South Brisbane,QLD,-27.482134,153.0223507
1078,4,Silverwater,NSW,-33.1029115,151.5600857
1007,4,Hobart,TAS,-42.8825088,147.3281233
935,4,Adelaide CBD,SA,-34.9334734,138.600575
1076,4,Scoresby,VIC,-37.9025786,145.2183066
955,4,Brisbane Central Business District,QLD,-27.4588371,153.0275474
996,4,Gepps Cross,SA,-34.8423859,138.6044271
1017,4,Linley Point,NSW,-33.8272222,151.15
1069,4,Redfern,NSW,-33.8931044,151.2040292
1086,4,Southbank,VIC,-37.8253618,144.9640203
989,4,Eight Mile Plains,QLD,-27.5779184,153.092299
960,4,Burnley,VIC,-37.8276223,145.0080912
952,4,Bondi,NSW,-33.8930556,151.2633333
968,4,Chippendale,NSW,-33.8863291,151.1998211
1067,4,Ravenhall,VIC,-37.7754956,144.7366326
995,4,Geelong,VIC,-38.1492813,144.3598269
998,4,Gleniffer,NSW,-30.3816667,152.8844444
1073,4,Rocklea,QLD,-27.5482033,153.0115871
1050,4,Osborne Park,WA,-31.9033165,115.814291
982,4,Dingley,VIC,-37.9755762,145.1256478
1037,4,Newcastle,NSW,-32.9272881,151.7812534
1065,4,Pyrmont,NSW,-33.8692145,151.1923633
1089,4,Strathfield,NSW,-33.8798176,151.0785246
1070,4,Remote,Remote,0.0,0.0
1100,4,The Rocks,NSW,-33.859992,151.2083216
1072,4,Richmond,VIC,-37.8203955,145.0025153
1025,4,Matraville,NSW,-33.9639325,151.2334198
997,4,Gladstone,QLD,-23.8431724,151.256132
1035,4,Mulgrave,VIC,-37.9319869,145.1817988
1045,4,Northern,Territory,-12.3713128,130.8684098
1056,4,Pearce,WA,-31.6739604,116.0175435
1002,4,Gregory,WA,-28.1945255,114.2642663
962,4,Campbellfield,VIC,-37.6641298,144.959583
1110,4,Western,Australia,-25.2303005,121.0187246
1029,4,Milton,NSW,-35.3169793,150.4375645
992,4,Fortitude Valley,QLD,-27.4562467,153.0358184
1060,4,Port Hedland,WA,-20.894665,118.5198768
1113,4,Williamtown,NSW,-32.815,151.8427778
1114,4,Wollongong,NSW,-34.4243941,150.89385
951,4,Boddington,WA,-32.792141,116.4210582
1019,4,Lyndhurst,VIC,-38.0685384,145.2307493
1053,4,Pakenham,VIC,-38.0803615,145.4858119
985,4,Douglas Park,NSW,-34.19,150.7011111
1064,4,Pymble,NSW,-33.7450185,151.1424708
1001,4,Grafton,NSW,-29.69125,152.9333435
1109,4,West Perth,WA,-31.9486588,115.841571
1059,4,Pilbara,WA,-22.9642029,118.8123347
1018,4,Lithgow,NSW,-33.3201229,150.1950254
1034,4,Mount Waverley,VIC,-37.8752637,145.1281258
1087,4,Spreyton,TAS,-41.2218021,146.3473314
1039,4,Newtown,NSW,-33.8961132,151.1801893
958,4,Bundall,QLD,-28.0112822,153.4080912
1016,4,Lindfield,NSW,-33.7802907,151.1595848
950,4,Blackburn North,VIC,-37.8053801,145.154324
937,4,Albury,NSW,-36.0804766,146.9162795
993,4,Frankston,VIC,-38.1444729,145.1268808
1004,4,Henderson,WA,-32.1625849,115.7779342
1054,4,Parkville,VIC,-37.7871148,144.9515533
1031,4,Moree,NSW,-29.4617202,149.8407153
939,4,Alice Springs,NT,-23.6983884,133.8812885
977,4,Darling Downs,QLD,-27.1170905,150.8946408
1032,4,Mornington Peninsula,VIC,-38.243315,145.0885432
1074,4,Rosebery,NSW,-33.9185861,151.204692
969,4,Christmas Creek,QLD,-28.1739399,152.9915566
1106,4,Warabrook,NSW,-32.8870387,151.7098651
1008,4,Homebush,NSW,-33.860451,151.0806118
1012,4,Inner West,NSW,-33.8899775,151.1453905
1048,4,Old Guildford,NSW,-33.8636111,150.9844444
988,4,Edinburgh,SA,-34.7191379,138.6350042
1061,4,Port Macquarie,NSW,-31.4299499,152.9103525
1058,4,Perth Central Business District,WA,-31.9551232,115.8678908
1068,4,Ravensthorpe,WA,-33.690132,120.1593772
1013,4,Katoomba,NSW,-33.713759,150.3121633
946,4,Barton,ACT,-35.3072631,149.1404986
1112,4,Williams Landing,VIC,-37.8700305,144.7469673
1022,4,Maitland,NSW,-32.708177,151.5268437
1030,4,Milton,QLD,-27.4700194,153.0037657
987,4,East Perth,WA,-31.954341,115.8778894
1091,4,Streaky Bay,SA,-32.7381247,134.6157554
1023,4,Mandurah,WA,-32.6286505,115.6379752
1028,4,Melbourne South Eastern Suburbs,VIC,-37.8262015,144.9499793
948,4,Beaconsfield,TAS,-41.1981078,146.8145469
1009,4,Hopetoun,WA,-33.9467298,120.1249342
967,4,Chichester,NSW,-32.1985224,151.6177186
980,4,Deakin,VIC,-37.9824458,145.2108655
981,4,Dee Why,NSW,-33.7536635,151.2899954
1051,4,Osterley,TAS,-42.34356,146.74136
1044,4,Northam,WA,-31.699163,116.6648507
1104,4,Tullamarine,VIC,-37.704658,144.8717732
941,4,Artarmon,NSW,-33.8094124,151.1857609
1000,4,Goldfields,WA,-31.3210067,121.5128526
1006,4,Hilton,SA,-34.9321393,138.5658367
1090,4,Strathpine,QLD,-27.3099861,152.9905347
975,4,Dampier,WA,-20.6624798,116.7119013
1063,4,Portland,VIC,-38.3456231,141.6042304
1041,4,North Melbourne,VIC,-37.8076092,144.9423514
1092,4,Success,WA,-32.1451437,115.8495969
1015,4,Lane Cove West,NSW,-33.8119396,151.150078
1049,4,Orchard Hills,NSW,-33.7816667,150.7177778
957,4,Bunbury,WA,-33.3267797,115.636698
1107,4,Waurn Ponds,VIC,-38.2158244,144.3061193
956,4,Broadway,NSW,-34.7063889,149.0805556
1021,4,Macquarie University,NSW,-33.7740328,151.1127092
1093,4,Sunshine Coast,QLD,-26.5443222,153.0507705
1084,4,South Perth,WA,-31.9809661,115.8639433
994,4,Fullarton,SA,-34.9540475,138.6263553
1062,4,Port Melbourne,VIC,-37.8333613,144.9219203
1046,4,Northgate,QLD,-27.3908162,153.0693526
959,4,Burleigh Heads,QLD,-28.1021343,153.4395799
1010,4,Horsham,VIC,-36.7148099,142.2018105
973,4,Coburg,VIC,-37.7449752,144.9643314
1111,4,Westmead,NSW,-33.8076498,150.9877265
965,4,Chatswood,NSW,-33.7944797,151.1818571
232,3,Akron,OH,41.083064,-81.518485
493,3,Hill AFB,UT,41.1227542,-111.977344
781,3,San Francisco,CA,37.7790262,-122.4199061
283,3,Bloomington,IL,40.4731073,-88.9941403
746,3,Remote,Remote,0.0,0.0
256,3,Atlanta,GA,33.7489924,-84.3902644
845,3,Texas City,TX,29.396013,-94.9175485
460,3,Fremont,CA,37.5482697,-121.9885719
907,3,Weston,FL,26.1003392,-80.399513
291,3,Boulder,CO,40.0149856,-105.2705456
295,3,Brandon,FL,27.928464,-82.2880508
289,3,Boston,MA,42.3602534,-71.0582912
883,3,Waltham,MA,42.3756401,-71.2358004
236,3,Alexandria,VA,38.8051095,-77.0470229
820,3,Southington,CT,41.6005435,-72.8782941
806,3,Seattle,WA,47.6038321,-122.3300624
648,3,New York State,New York State,40.7127281,-74.0060152
508,3,Irving,TX,32.8295183,-96.9442177
319,3,Carlsbad,CA,33.1580933,-117.3505966
724,3,Pleasant Prairie,WI,42.5273197,-87.8533517
476,3,Greenville,TX,33.1384488,-96.1108066
594,3,McAlester,OK,34.9334981,-95.7697934
789,3,Sanford,FL,28.8117297,-81.2680345
886,3,Washington,DC,38.8949924,-77.0365581
584,3,Marlborough,MA,42.3459271,-71.5522874
