job_id,job_title_id,country_id,job_title,company_name,location_id
p_bf25ad84955738ad,1,2,"Senior Developer, Business Intelligence",Expound,99
p_840ed0544a410c71,1,2,Revenue Assurnace Analyst (Temporary),ENERCARE,126
p_caf62e4f293732d2,1,2,Production Analyst - Co-Op,Aecon Group,60
p_0975b2712930bc10,1,2,BUSINESS SYSTEMS ANALYST,Alcohol and Gaming Commission of Ontario,205
p_4a2e490967d3b20e,1,2,Supply Chain Analyst,Redline Communications,126
p_bd230e51eaaa4585,1,2,Data Analyst,BC Centre for Excellence in HIV/AIDS,207
p_d3a1d8b3c545e679,1,2,"Analyst, Compensation & Classification",Vancouver Island Health Authority,213
p_56251c0437bfe90c,1,2,Analyste de données de l’expérience client /Customer Experie...,CAE Inc.,171
p_3159e4069a66763c,1,2,"Business Analyst, Contract Management / Decision Support",Fraser Health,195
p_a6bc5c92778275bb,1,2,Data Analyst,Score Media Ventures Inc.,205
p_a0f9b010780fd7fe,1,2,BUSINESS SYSTEMS ANALYST,Humber,93
p_0bb23b944d13e8c6,1,2,"Senior Business Analyst, CBIA",Workplace Safety and Insurance Board,205
p_295b72f9f3ff1a77,1,2,Technical Business Analyst,Softvision - North America,207
pj_00fb2c3985047816,1,2,Sr. UI Frontend Data Visualization Web Developer,Liquid Analytics,205
p_1d5532d63ad9d8c4,1,2,Customer Business Analyst,Ferrero,142
p_6e354248cb3e91ff,1,2,"Analyst, Private label and E-Commerce (temporary)",Sobeys,205
p_14e02b7c7c6267e2,1,2,Lead Commercial Analyst,Stryker,215
p_4a38787a1513fae1,1,2,Equity Data Analyst,Morningstar,205
p_fc51db3ee3745544,1,2,Analyste de données / Data Analyst,Square Enix Montréal,135
p_d8ee46e4b484b30e,1,2,ADMN O 24R - Senior Business Information and Project Analyst,BC Public Service,213
p_1b26c98ddb8da37e,1,2,Quaker Pricing Strategy Analyst,PepsiCo,132
p_aa30337b620fe338,1,2,Supply Chain Analyst (15-month contract),Griffith Foods,205
p_5fcba95e24a129cd,1,2,database analyst,EN3 Solutions Ltd.,225
p_28cf61e7652661db,1,2,BI Analyst - POS & ECOMM,Mountain Equipment Co-op,207
p_e1fd0e88751ad22b,1,2,Strategic Insights Analyst,DAC Group,205
p_d3bd0d1d9678c211,1,2,Business Analyst - BMC Remedy,IT Chapter,135
p_bee143c0f78dde49,1,2,Professional-Environmental Data Analyst,"Geosyntec Consultants, Inc.",100
p_34ca02fd0329e390,1,2,MARKETING DATA ANALYST -EN,Nvizzio Creations,135
p_bcad598d24eb61af,1,2,Conversion QA Analysts,Primesoft Solutions Inc,223
p_087ec91ed34dcb7a,1,2,Data Analyst,Pelmorex Corp,143
p_96886d668315b4a7,1,2,Master Data Analyst,BURNCO Rock Products Ltd.,69
p_f682d6df3f27d9c2,1,2,Supply Chain Replenishment Analyst,Loblaw Companies Limited,61
p_e4e2bc035fda47c9,1,2,"Business Analyst, DTCC Operations and Strategic Programs",Cisco Systems,205
p_ae09cc3b872eecac,1,2,DevOps Analyst,TMX Group Limited,135
p_a52319852cf99267,1,2,Research Analyst- 9 Month Contract,Coast Capital Savings Federal Credit Union,195
