Job ID,Job Title Index,Job Title,Company Name,Company Location,Country
p_e5492bc15b049ea4,1,"Application Analyst (COBOL/400 programming, SMART/400)",KRIS INFOTECH PTE. LTD.,Singapore,1
p_c10fe0f6c2c35683,1,Senior Data Analyst - Financial Services Analytics,Shopee,Singapore,1
p_73dc9cacd0d5f6fc,1,Senior / Data Analyst (Regional),Ninja Van,Singapore,1
p_20a9335730ba7702,1,Staff QMS PLM Analyst,Marvell,Singapore,1
p_0e5e296a4d9f2cd1,1,Market Analyst,Aramco,Singapore,1
p_64ad7061d5c16dc8,1,"Analyst, Operations",SHOPEE SINGAPORE PRIVATE LIMITED,Clementi,1
p_d395dbabfa6b0711,1,Data Analyst Lead - Financial Services Analytics,Shopee,Singapore,1
p_5c5f5eaee0e1e660,1,Gas Management Analyst #SGUP,PETROSERAYA PTE. LTD.,Clementi,1
p_cc70019ce8cb2dbd,1,Data Analyst,INNOVATIVE CONSULTING PTE. LTD.,Singapore,1
p_d7689015f7b7bc35,1,Batch Analyst - Control-M,NTT Singapore Digital Talent Services Pte. Ltd,Singapore,1
p_cd4c3ef6f6ccdb82,1,Data Anayst # Singapore opening,Infodrive Solutions Pte Ltd,Singapore,1
p_db4a46e05233a0bb,1,Data Analyst,NUGIT PTE. LTD.,Outram,1
p_97dc7ceed85995fe,1,Production Support Analyst,Sciente Consulting Pte. Ltd,Singapore,1
p_5082eb2cd6a8994a,1,Cybersecurity Analyst,NTUC Income Insurance Co-Operative,Singapore,1
p_dee245e05aa1a4e2,1,Transportation Analyst,Thermo Fisher Scientific,Singapore,1
p_736a6fa6080da0fb,1,Data Analyst / Data Manager (Contract) #SGUnitedJobs,Ministry of Health,Singapore,1
p_1c85fe832120ee9c,1,Test Analyst,Helius Technologies Pte Ltd,Singapore,1
p_df2fcd371646835a,1,"Vice President, Investment",Keppel Capital,Singapore,1
p_074c80c5dd736319,1,Forensics Technology Graduate Associate 2020,KPMG,Singapore,1
p_4fc60d78bcb7a119,1,SGUnited Traineeship,OCBC Bank,Singapore,1
p_2b604c6aee57bda5,1,Cust Exp P&E Analyst,FedEx Express APAC,Singapore,1
p_456ef08b6508ebc8,1,Application Support Analyst,Titansoft Pte Ltd,Singapore,1
p_db1970a5dd92665e,1,Fraud Analyst - Uber APAC,Uber,Singapore,1
p_30ca4091d5c3359d,1,Laboratory Analyst,SGS TESTING & CONTROL SERVICES SINGAPORE PTE LTD,Singapore,1
p_9705a33a684c05d8,1,Junior Pricing Business Analyst,Credit Suisse,Singapore,1
p_38ce115a0b6272ed,1,Job-Skills Analyst,SSG SkillsFuture Singapore Agency,Singapore,1
p_3b62f3a5a6d88e36,1,Business Financial Analyst (No Prior Experience Required),HP,Singapore,1
p_39bcfa2aacf16384,1,AI/ML - Annotation Quality Analyst - Taiwanese Mandarin lang...,Apple,Singapore,1
p_bf897203d1b81187,1,Supply & Demand Planning Analyst,Teleflex,Singapore,1
p_2b59f7f6626f339e,1,Service Desk Analyst,SITA,Singapore,1
p_9990512fd7a44495,1,Junior Risk Analyst (Temporary),Barry Callebaut,Singapore,1
p_e3939b0fb085f057,1,QC Analyst,Illumina,Woodlands,1
p_3606009f35cdcdff,1,Keppel Internship Programme,Keppel Capital,Singapore,1
p_5df95fe94767f41c,1,Data Partnership & Audience Monetization Lead,GO-JEK,Singapore,1
p_d5e6be0832a49d57,1,Commercial Analyst Intern,Illumina,Singapore,1
p_ea165b2bff3ab8cb,1,Predictive Data Analyst,NTT,Singapore,1
p_dc84ff9f45645491,1,Business Analyst (2 Years Contract),Cycle & Carriage,Singapore,1
p_29207c873d68ef99,1,Investment Banking Analyst 1-3,BEATHCHAPMAN (PTE. LTD.),Tanjong Pagar,1
p_a91cfc74e858112e,1,Customer Analyst (Fairprice),STAFFONDEMAND PTE. LTD.,Jurong Island,1
p_1239e3d878781592,1,"Trading Analyst (LPG), Leading Integrated Trading Company",Kerry Consulting Pte Ltd,Singapore,1
p_0d59be8b4ad5180e,1,"M&A Analyst, Chemical",Kerry Consulting Pte Ltd,Singapore,1
p_c9d0dab6317fed6e,1,Order Fulfilment Analyst (18 months contract),Apple,Singapore,1
p_04db385742f2e0b2,1,Data And Research Analyst,Career Edge Asia Pte Ltd,Singapore,1
p_6e616a9c5f3c9de0,1,Analyst - Health and Benefits,Gras Savoye,Singapore,1
p_a3fd2a882bce4fef,1,Cybersecurity Intelligence Group Analyst,"JPMorgan Chase Bank, N.A.",Singapore,1
p_ffd51079d43bc89a,1,Research Analyst - Economics,CRU International,Singapore,1
p_3133e145ac256991,1,Market Analyst Summer Intern,Nutanix,Singapore,1
p_ef51b9fc76cd6a35,1,Analyst II (Cyber Incident Responder / Threat Hunter),Marina Bay Sands,Singapore,1
p_57d02c9c260e2e3d,1,"Nike Direct Digital Planning Analyst, SEA&I",Nike,Singapore,1
